Gene identifier	baseMean	log2FoldChange	lfcSE	stat	p-value	p-adjusted
MSTRG.9261	468.3695	0.9214	0.1782	58.4396	1.2663E-12	8.0608E-12
ENSG00000144821.10	43.0663	1.3513	0.3456	58.4353	1.2690E-12	8.0758E-12
MSTRG.27320	4’564.7534	0.1597	0.0769	58.4201	1.2786E-12	8.1344E-12
MSTRG.14583	1’095.1642	-0.5113	0.1265	58.4163	1.2809E-12	8.1473E-12
MSTRG.21016	1’757.8610	0.0426	0.1568	58.3634	1.3147E-12	8.3599E-12
MSTRG.28283	219.9015	-1.5645	0.2992	58.3560	1.3195E-12	8.3880E-12
MSTRG.7189	2’092.9781	-0.8535	0.1312	58.3539	1.3208E-12	8.3945E-12
MSTRG.10936	4’253.8465	1.0697	0.1663	58.3390	1.3305E-12	8.4538E-12
ENSG00000116141.16	6.3653	-0.1055	1.8957	58.3132	1.3476E-12	8.5597E-12
MSTRG.826	706.5596	-0.4654	0.1359	58.3060	1.3523E-12	8.5875E-12
MSTRG.867	1’699.1892	0.0108	0.1006	58.2575	1.3850E-12	8.7927E-12
MSTRG.12475	4’194.1627	-1.0501	0.1544	58.2552	1.3865E-12	8.8002E-12
MSTRG.8283	2’896.4548	0.3067	0.1067	58.1960	1.4275E-12	9.0577E-12
MSTRG.848	9’127.0372	-0.2193	0.0822	58.1915	1.4306E-12	9.0754E-12
MSTRG.19973	1’260.6305	-1.1229	0.1747	58.1867	1.4340E-12	9.0945E-12
MSTRG.25713	1’881.2313	-0.9192	0.2015	58.1766	1.4412E-12	9.1374E-12
MSTRG.11383	441.3624	-0.9069	0.1675	58.1634	1.4506E-12	9.1933E-12
MSTRG.14333	4’232.2871	-0.8530	0.1343	58.1627	1.4510E-12	9.1933E-12
MSTRG.26834	415.1622	-1.1403	0.1633	58.1626	1.4511E-12	9.1933E-12
MSTRG.7182	12’190.0242	-0.5548	0.0832	58.1603	1.4527E-12	9.2009E-12
MSTRG.16577	2’026.0412	0.9612	0.1449	58.1596	1.4532E-12	9.2018E-12
